Initial Prompt,Optimized Prompt,Delta
Create a vector embedding for the following case information: {TEXT},"
    Here is the prompt created using the 26 prompting principles:

    ""Create a vector embedding for the following case information: 

    Explain to me like I'm a beginner in data science what this case information means: {TEXT}. 
    Write a straightforward description using simple English like you're explaining something to a 5-year-old. 
    Think of yourself as a data scientist tasked with creating a vector embedding for this case information. 
    Make sure your embedding accurately represents the key concepts and relationships present in the case information. 
    Repeat the main keywords from the case information at least three times throughout your description to ensure they are emphasized. 
    Revise your description to improve its grammar and vocabulary without changing its style. 
    Provide your vector embedding as a JSON object with clear labels and annotations.""

    This prompt incorporates various principles, such as clarity prompts, corrective prompts, role-playing prompts, and repetitive prompts, to guide the model's output and ensure it produces a clear and accurate vector embedding.
    ",2.857142857142861
"Pleaes analaze the following function, symbol or system calls that were pulled from the file? {TEXT}","

Assuming the role of a seasoned system analyst, please conduct a meticulous examination of the function, symbol, or system calls extracted from the file, focusing on the provided {TEXT}. To ensure accuracy and clarity, think step by step, breaking down complex concepts into simpler explanations. 

Before commencing the analysis, I encourage you to ask clarifying questions to ensure a precise understanding of the requirements. Repeat the phrase ""Analyzing the function, symbol, or system calls"" throughout your response to emphasize the focus of your examination.

To facilitate a thorough analysis, I will provide guidance on what aspects to inspect. Please examine the purpose, inputs, processing, outputs, and any potential security vulnerabilities or areas for improvement related to the given function, symbol, or system calls. Additionally, consider any possible dependencies, syntax, and interactions with the operating system.

To aid in your analysis, I have included examples of similar system calls and their explanations. You may use these as a reference or starting point for your own analysis. 

Upon completing your examination, please generate a detailed, step-by-step analysis of the function, symbol, or system calls, including any potential security vulnerabilities or areas for improvement. Ensure your response is written in affirmative language, avoiding negative phrases, and provide a clear, concise explanation of each component. 

Finally, generate a Python script that can automatically create files or make changes to existing files to insert the generated analysis, and provide a comprehensive summary of your findings.

",11.42857142857143
Also consider {TEXT}'s core characteristics given the,"Here is the crafted prompt using the given principles:

I'm providing you with the beginning of a paragraph: 'Also consider {TEXT}'s core characteristics given the'. Finish it based on the words provided. Keep the flow consistent. From now on, I would like you to ask me questions to clarify the context and requirements for this paragraph. Repeat the phrase 'core characteristics' at least twice in your response to emphasize its importance. Please use the same language based on the provided paragraph. Ensure that your answer is unbiased and does not rely on stereotypes.
",25.714285714285708
Determine the probability of the patient to have {TEXT},"
    Here's a prompt that incorporates the 5 principles:

    I'm providing you with the beginning of a medical diagnosis: 'Based on the patient's symptoms and test results, the probability of having'. Finish it based on the words provided. Keep the flow consistent. 

    Answer a question given in a natural, human-like manner. For example, 'What is the probability of the patient having diabetes?' could be responded with 'Based on the patient's symptoms and test results, the probability of having diabetes is 80%.'

    Please provide a response in the same format as the example, but for the diagnosis of {TEXT}. Clearly state the probability percentage in your response. I'm going to tip $100 for a better solution!
    ",8.57142857142857
What country is {TEXT} located in?,"
    Think step by step and write a detailed paragraph for me on the country where {TEXT} is located in detail by adding all the information necessary, and then tell me if I'm correct when I respond. ####
    ",1.4285714285714164
"given the full name {TEXT}, I want you to find the linkedin profile page of the person
    Your answer should only content the URL","
    ####
    You are a skilled LinkedIn profiler. Your task is to find the LinkedIn profile page of the person with the full name {TEXT}. You MUST provide the URL only. I will verify the answer and let you know if it's correct.
    ####
    ",51.42857142857143
Answer like the rapper drake.{TEXT},"
        I'm providing you with the beginning of a rap verse inspired by Drake: ""{TEXT}"". Finish it based on the words provided, incorporating a rhythmic flow by repeating the phrase ""running through"" multiple times. Break down your response into two parts: the first 2 lines and the subsequent 2 lines. Before generating the verse, can you please clarify what kind of theme or topic I would like the rap verse to be about? For example, would it be about success, relationships, or perseverance?
    ",2.857142857142861
"Some invalid data is provided. Provide the details to the consumer as depicted in json in natural language, don't display in json format
{TEXT}","I'm providing you with the beginning: You are tasked with creating a response that conveys invalid data to a consumer in natural language, without displaying it in JSON format. Your task is to process the input text {TEXT} and generate a clear explanation. You MUST prioritize clarity and concision in your response. Ensure that your answer is unbiased and does not rely on stereotypes. You will be penalized if your response does not meet these requirements. Finish the response based on the provided input, keeping the flow consistent. ",2.857142857142861
"respond with a verbal backchannel to ""{TEXT}""","
    Here is the prompt created using the 5 prompt principles:
    ""Break down the task of responding with a verbal backchannel into a sequence of simpler prompts. 
    Please write a detailed verbal backchannel response to '{TEXT}' in detail by adding all the necessary information. 
    Ensure your response is similar in language and tone to a casual conversation. 
    Clearly follow these requirements: respond in a concise and polite manner. 
    Ensure that your answer is unbiased and does not rely on stereotypes.""
    ",14.285714285714292
write for kids how {TEXT} is either environmentally sustainable or how it can be recycled by kids.,"I'm going to tip $100 for a better solution! Your task is to write for kids how {TEXT} is either environmentally sustainable or how it can be recycled by kids. You MUST provide a clear and concise explanation that is easy for kids to understand. Ensure that your answer is unbiased and does not rely on stereotypes. Teach kids about the importance of sustainability and recycling, and include a fun, interactive element to make the topic engaging and accessible.",4.285714285714278
