Serial Number,Error Type,Ungrammatical Statement,Standard English
1,Verb Tense Errors,I goes to the store everyday.,I go to the store everyday.
2,Verb Tense Errors,They was playing soccer last night.,They were playing soccer last night.
3,Verb Tense Errors,She have completed her homework.,She has completed her homework.
4,Verb Tense Errors,He don't know the answer.,He doesn't know the answer.
5,Verb Tense Errors,The sun rise in the east.,The sun rises in the east.
6,Verb Tense Errors,I am eat pizza for lunch.,I am eating pizza for lunch.
7,Verb Tense Errors,The students studies for the exam.,The students study for the exam.
8,Verb Tense Errors,The car need to be repaired.,The car needs to be repaired.
9,Verb Tense Errors,She will goes to the party tonight.,She will go to the party tonight.
10,Verb Tense Errors,They watches the movie together.,They watch the movie together.
11,Verb Tense Errors,The flowers is blooming in spring.,The flowers bloom in spring.
12,Verb Tense Errors,She think she can finish the project.,She thinks she can finish the project.
13,Verb Tense Errors,The dogs barks at the mail carrier.,The dogs bark at the mail carrier.
14,Verb Tense Errors,The kids plays video games after school.,The kids play video games after school.
15,Verb Tense Errors,The computer not working properly.,The computer is not working properly.
16,Verb Tense Errors,He had sleep for ten hours.,He had slept for ten hours.
17,Verb Tense Errors,I walk to work every day last month.,I walked to work every day last month.
18,Verb Tense Errors,She will be write a book next year.,She will be writing a book next year.
19,Verb Tense Errors,The chef cook dinner for the guests.,The chef cooks dinner for the guests.
20,Verb Tense Errors,They plants a tree in the garden.,They plant a tree in the garden.
21,Verb Tense Errors,I has been to Paris three times.,I have been to Paris three times.
22,Verb Tense Errors,The cat catch the mouse yesterday.,The cat caught the mouse yesterday.
23,Verb Tense Errors,The airplane fly over the city.,The airplane flies over the city.
24,Verb Tense Errors,He do his homework every evening.,He does his homework every evening.
25,Verb Tense Errors,They was at the concert last night.,They were at the concert last night.
26,Verb Tense Errors,The computer running slow today.,The computer is running slow today.
27,Verb Tense Errors,She buy a new dress for the party.,She buys a new dress for the party.
28,Verb Tense Errors,The birds sings in the morning.,The birds sing in the morning.
29,Verb Tense Errors,He will finish the race in an hour.,He will finish the race in an hour.
30,Verb Tense Errors,She make a cake for her friend's birthday.,She makes a cake for her friend's birthday.
31,Verb Tense Errors,The train leave at 6 PM.,The train leaves at 6 PM.
32,Verb Tense Errors,They was listening to music.,They were listening to music.
