text,is_prompt
"""function_call_info""",0
"""conversation_history""",0
"""""""Return a partial of the prompt template.""""""",0
"""occasion""",0
'question',0
'webm',0
'show',0
"""{% endif %}""",0
"""bard_proxyllm_proxy_api_key""",0
"""""""Examples to format into the prompt.
    Either this or example_selector should be provided.""""""",0
'id',0
"""answer""",0
"""Execution Output:""",0
"""generated""",0
"""nextPageToken""",0
'TRANSLATE',0
"""""""模型未成功加载，请检查后重新尝试""""""",0
"'longbody, lowres, bad anatomy, bad hands, missing fingers, extra digit,'",0
"""What are three songs about love""",0
"""--label-separator""",0
"""delta""",0
"""{% if messages[0]['role'] == 'system' %}""",0
"""## 询问智库科研助手""",0
"""and the filename in `query`.""",0
"""🗑️  Clear history""",0
"""or perform hed boundary detection on this image, or detect soft hed boundary image of this image. """,0
"""presence_penalty""",0
'topic',0
"""message""",0
"""Lesson 2: Prompts""",0
"""langchain_googledrive.document_loaders.google_drive""",0
"""blocks""",0
"""context""",0
"""""""Import prompt from prompt name""""""",0
"""horizon""",0
"""Question: {query_str}\n""",0
"""knowledge_base_name""",0
'html',0
"""question""",0
"""\n""",0
"""text: {text}""",0
"""gpt-3.5""",0
"""Summary""",0
'babbage',0
"""context""",0
"""advanced""",0
'',0
"""""""
        Check if a file with the given filename is allowed to be uploaded.

        Parameters:
        filename (str): the name of the file to check

        Returns:
        bool: True if the file is allowed, False otherwise
        """"""",0
"""/""",0
"""about_me""",0
"""application/json""",0
"""finish_reason""",0
"""Please set either variables or variable_configs""",0
'drag_gan_progress',0
"""""""BasePrompt schema definition.""""""",0
"""Another question""",0
"""context""",0
"""list""",0
""">""",0
"""Retrieved Document """,0
"""text-davinci-003""",0
'',0
'god_mode_source',0
"""headers""",0
"f""{request.base_url}knowledge_base/download_doc?""",0
"""Authorization""",0
"""pages""",0
"""chat""",0
"""f-string""",0
'apres final_summarized_text',0
"""What are songs that were not published on Spotify""",0
"""r""",0
"""General""",0
"""Translate to""",0
""" at a level that a person in """,0
"""complete_input_dict""",0
"""""""Question: What is the elevation range for the area that the eastern sector of the
Colorado orogeny extends into?
Thought 1: I need to search Colorado orogeny, find the area that the eastern sector
of the Colorado orogeny extends into, then find the elevation range of the
area.
Action 1: Search[Colorado orogeny]
Observation 1: The Colorado orogeny was an episode of mountain building (an orogeny) in
Colorado and surrounding areas.
Thought 2: It does not mention the eastern sector. So I need to look up eastern
sector.
Action 2: Lookup[eastern sector]
Observation 2: (Result 1 / 1) The eastern sector extends into the High Plains and is called
the Central Plains orogeny.
Thought 3: The eastern sector of Colorado orogeny extends into the High Plains. So I
need to search High Plains and find its elevation range.
Action 3: Search[High Plains]
Observation 3: High Plains refers to one of two distinct land regions
Thought 4: I need to instead search High Plains (United States).
Action 4: Search[High Plains (United States)]
Observation 4: The High Plains are a subregion of the Great Plains. From east to west, the
High Plains rise in elevation from around 1,800 to 7,000 ft (550 to 2,130
m).[3]
Thought 5: High Plains rise in elevation from around 1,800 to 7,000 ft, so the answer
is 1,800 to 7,000 ft.
Action 5: Finish[1,800 to 7,000 ft]""""""",0
"f""\033[{_interpret_color(fg)}m""",0
"'""confidence""'",0
'prompt6',0
"""x0""",0
"""question""",0
"""help""",0
"""""",0
'prompt_templates',0
"""utf-8""",0
"""What is a good name for a company that makes {product}?""",0
"f""{kwargs['cot_trigger']} """,0
'FAISS',0
"""prev_chat_history""",0
'password',0
"""------------\n""",0
"""all""",0
"""update_transformer""",0
'application/json',0
'CSVAgent',0
"""pageToken""",0
"""""",0
"""Haiku""",0
"""tone""",0
"""""""Prompt template classes.""""""",0
"""""""Format a document into a string based on a prompt template.

    First, this pulls information from the document from two sources:

    1. `page_content`:
        This takes the information from the `document.page_content`
        and assigns it to a variable named `page_content`.
    2. metadata:
        This takes information from `document.metadata` and assigns
        it to variables of the same name.

    Those variables are then passed into the `prompt` to produce a formatted string.

    Args:
        doc: Document, the page_content and metadata will be used to create
            the final string.
        prompt: BasePromptTemplate, will be used to format the page_content
            and metadata into the final string.

    Returns:
        string of the document formatted.

    Example:
        .. code-block:: python

            from langchain.schema import Document
            from langchain.prompts import PromptTemplate

            doc = Document(page_content=""This is a joke"", metadata={""page"": ""1""})
            prompt = PromptTemplate.from_template(""Page {page}: {page_content}"")
            format_document(doc, prompt)
            >>> ""Page 1: This is a joke""
    """"""",0
f'{code_language} language',0
"""{{User}}""",0
"""return_full_text""",0
"""task_description""",0
'LCID',0
"""chat_history""",0
"""intermediate_steps""",0
'start',0
"""locations than non-renewable sources.\n""",0
"""role""",0
"""Save images to Campaign""",0
"""memory_name""",0
"""temp.py""",0
""")""",0
'description',0
"""result""",0
"""webContentLink""",0
"""system""",0
""".r""",0
"""file type is not supported in partition""",0
"""required""",0
"f""status code: {original_exception.status_code}""",0
"""cpu""",0
"""stuff""",0
"""Google api not installed""",0
"""TimeTravelGuideChain""",0
"""green""",0
"""Government bond yields remain relatively stable in recent months.""",0
'PG_USER',0
"""_type""",0
"""""""How frequently to re-generate the summary.""""""",0
'Authorization',0
"""The input to this tool should be a string, representing the image_path""",0
"""content""",0
"""""""Chain to use to summarize code change.""""""",0
"""/""",0
"""""""Whether or not to try validating the template.""""""",0
"""I have been given a new objective:{}""",0
'\n',0
"""fusing/stable-diffusion-v1-5-controlnet-scribble""",0
"""🔄  Regenerate""",0
'Enter your question:',0
"f""""""### Instruction: F
### Input:
{oracle_input.input_code}
### Response:
""""""",0
"""SENTRY_API_TRACE_RATE""",0
'''This tool gets the input from autogen_plan and writes a python code that have to be sent to code_exec tool question is one simple string''',0
"""input_key""",0
"""""""Deployment name to use.""""""",0
'silver',0
"""similarity""",0
"""color-sidebar-current-text""",0
"""Arial""",0
"""stop_str""",0
'test',0
"""<Seçiniz>""",0
"""max_new_tokens""",0
"""user""",0
"""f-string""",0
"""choices""",0
